HP:0000001	All					
HP:0000002	Abnormality of body height				HP:0001507	
HP:0000003	Multicystic kidney dysplasia	Multicystic dysplastic kidney|Multicystic kidneys|Multicystic renal dysplasia		HP:0004715	HP:0000107	Multicystic Kidney Dysplasia
HP:0000005	Mode of inheritance	Inheritance		HP:0001453|HP:0001461	HP:0000001	
HP:0000006	Autosomal dominant inheritance	Autosomal dominant	AUTOSOMAL DOMINANT FORM|AUTOSOMAL DOMINANT TYPE	HP:0001415|HP:0001447|HP:0001448|HP:0001451|HP:0001455|HP:0001456|HP:0001463	HP:0000005	
HP:0000007	Autosomal recessive inheritance	Autosomal recessive	AUTOSOMAL RECESSIVE FORM|Autosomal recessive predisposition	HP:0001416|HP:0001526	HP:0000005	
HP:0000008	Abnormality of female internal genitalia				HP:0000812|HP:0010460	
HP:0000009	Functional abnormality of the bladder	Poor bladder function		HP:0004424|HP:0008731	HP:0000014	
HP:0000010	Recurrent urinary tract infections	Frequent urinary tract infections|Urinary infection|Urinary tract infection|Urinary tract infections|Urinary tract infections, recurrent		HP:0000094	HP:0002719|HP:0011277	Urinary Tract Infections
HP:0000011	Neurogenic bladder				HP:0000009	
HP:0000012	Urinary urgency		Overactive bladder syndrome|Urgency frequency syndrome		HP:0000009	
HP:0000013	Hypoplasia of the uterus	Hypoplastic uterus|Rudimentary uterus		HP:0001154|HP:0008637	HP:0008684	
HP:0000014	Abnormality of the bladder				HP:0010936	
HP:0000015	Bladder diverticulum	Bladder diverticula			HP:0000014	
HP:0000016	Urinary retention	Increased post-void residual urine volume			HP:0000009	Urinary Retention
HP:0000017	Nocturia	Nycturia			HP:0000009	Nocturia
HP:0000019	Urinary hesitancy				HP:0000009	
HP:0000020	Urinary incontinence	Bladder incontinence		HP:0006942|HP:0008681	HP:0000009	Urinary Incontinence
HP:0000021	Megacystis			HP:0002838	HP:0010955	
HP:0000022	Abnormality of male internal genitalia				HP:0000812|HP:0010461	
HP:0000023	Inguinal hernia				HP:0004299	Hernia, Inguinal
HP:0000024	Prostatitis				HP:0008775	Prostatitis
HP:0000025	Functional abnormality of male internal genitalia				HP:0012874	
HP:0000026	Male hypogonadism			HP:0008649	HP:0000025|HP:0000135	
HP:0000027	Azoospermia				HP:0008669	Azoospermia
HP:0000028	Cryptorchidism	Undescended testes|Undescended testis		HP:0000797	HP:0000035	Cryptorchidism
HP:0000029	Testicular atrophy				HP:0000035	
HP:0000030	Testicular gonadoblastoma		Gonadoblastoma, male		HP:0000150|HP:0010788	
HP:0000031	Epididymitis				HP:0009714	Epididymitis
HP:0000032	Abnormality of male external genitalia				HP:0000811|HP:0010461	
HP:0000033	Ambiguous genitalia, male	Ambiguous genitalia in males			HP:0000032|HP:0000062	
HP:0000034	Hydrocele testis	Testicular hydrocele	Hydrocele		HP:0000035	Testicular Hydrocele
HP:0000035	Abnormality of the testis	Anomaly of the testes			HP:0000032	
HP:0000036	Abnormality of the penis				HP:0000032	
HP:0000037	Male pseudohermaphroditism				HP:0000032	
HP:0000039	Epispadias				HP:0100627	Epispadias
HP:0000040	Long penis	Enlarged penis			HP:0000036	
HP:0000041	Chordee				HP:0000036	
HP:0000042	Absent external genitalia				HP:0000811	
HP:0000044	Hypogonadotrophic hypogonadism	Hypogonadism, hypogonadotropic	Isolated hypogonadotropic hypogonadism	HP:0008224	HP:0000135	
HP:0000045	Abnormality of the scrotum				HP:0000032	
HP:0000046	Scrotal hypoplasia	Hypoplastic scrotum			HP:0000045|HP:0000050	
HP:0000047	Hypospadias				HP:0100627	Hypospadias
HP:0000048	Bifid scrotum				HP:0000045	
HP:0000049	Shawl scrotum	Overriding scrotum			HP:0000045	
HP:0000050	Hypoplastic male external genitalia	Hypoplastic male genitalia|Small male external genitalia		HP:0008710|HP:0008721	HP:0003241	
HP:0000051	Perineal hypospadias				HP:0000047	
HP:0000052	Urethral atresia, male				HP:0000068	
HP:0000053	Macroorchidism	Large testis			HP:0000035	
HP:0000054	Micropenis	Short penis|Small penis		HP:0000038	HP:0008736	
HP:0000055	Abnormality of female external genitalia	Abnormal female external genitalia			HP:0000811|HP:0010460	
HP:0000056	Abnormality of the clitoris				HP:0000055	
HP:0000057	Clitoromegaly	Clitoral enlargement|Enlarged clitoris|Prominent clitoris			HP:0000056	
HP:0000058	Abnormality of the labia				HP:0000055	
HP:0000059	Hypoplastic labia majora	Hypoplasia of labia majora|Small labia majora			HP:0000066|HP:0012881	
HP:0000060	Clitoral hypoplasia	Hypoplastic clitoris|Small clitoris			HP:0000056|HP:0012815	
HP:0000061	Ambiguous genitalia, female		Ambiguous genitalia due to virilization	HP:0008690	HP:0000055|HP:0000062	
HP:0000062	Ambiguous genitalia	Ambiguous external genitalia|Ambiguous external genitalia at birth|Intersex genitalia		HP:0008685|HP:0008693	HP:0000811	
HP:0000063	Fused labia minora				HP:0012880	
HP:0000064	Hypoplastic labia minora				HP:0000066|HP:0012880	
HP:0000065	Labial hypertrophy				HP:0000058	
HP:0000066	Labial hypoplasia	Hypoplastic labia			HP:0000058|HP:0012815	
HP:0000067	Urethral atresia, female				HP:0000055|HP:0000068	
HP:0000068	Urethral atresia				HP:0000795	
HP:0000069	Abnormality of the ureter	Abnormality of the ureters|Ureteral anomalies		HP:0006001	HP:0010935	
HP:0000070	Ureterocele				HP:0000069	Ureterocele
HP:0000071	Ureteral stenosis				HP:0006000	
HP:0000072	Hydroureter	Megaureter|Ureteral dilatation	Uroureter	HP:0006003	HP:0000069	
HP:0000073	Ureteral duplication	Double ureter			HP:0000069	
HP:0000074	Ureteropelvic junction obstruction	Pelviureteric junction obstruction			HP:0000071	
HP:0000075	Renal duplication		Supernumerary kidney		HP:0012210	
HP:0000076	Vesicoureteral reflux	Ureteral reflux|Ureteric reflux|Vesicoureteric reflux		HP:0005998|HP:0006002|HP:0008667	HP:0000009|HP:0000069	Vesico-ureteral reflux
HP:0000077	Abnormality of the kidney	Renal anomalies|Renal anomaly	Kidney disease		HP:0010935	
HP:0000078	Abnormality of the genital system	Genital abnormalities|Genital abnormality|Genital anomalies|Genital defects	Abnormality of the reproductive system		HP:0000119	
HP:0000079	Abnormality of the urinary system	Urinary tract abnormalities|Urinary tract abnormality|Urinary tract anomalies			HP:0000119	
HP:0000080	Abnormality of reproductive system physiology	Genital functional abnormality	Abnormality of genital physiology		HP:0000078	
HP:0000081	Duplicated collecting system	Double collecting system|Double urinary collecting systems on intravenous pyelography|Duplicated renal collecting system			HP:0000073|HP:0004742	
HP:0000083	Renal insufficiency	Renal failure|Renal failure in adulthood		HP:0000084|HP:0004723	HP:0012211	Renal Insufficiency
HP:0000085	Horseshoe kidney	Horseshoe kidneys			HP:0100542	
HP:0000086	Ectopic kidney	Displaced kidney|Ectopic kidneys|Renal ectopia			HP:0100542	
HP:0000089	Renal hypoplasia	Hypoplastic kidney|Hypoplastic kidneys|Small kidneys		HP:0001968|HP:0004741|HP:0008641	HP:0008678	
HP:0000090	Nephronophthisis	juvenile nephronophthisis		HP:0004748	HP:0100957	
HP:0000091	Abnormality of the renal tubule				HP:0012575	
HP:0000092	Tubular atrophy	Renal tubular cell atrophy		HP:0005578	HP:0000091	
HP:0000093	Proteinuria				HP:0003110	Proteinuria
HP:0000095	Abnormality of the glomerulus				HP:0012575	
HP:0000096	Glomerulosclerosis				HP:0000095	
HP:0000097	Focal segmental glomerulosclerosis	Focal and segmental glomerular sclerosis|Focal and segmental glomerulosclerosis|focal glomerulosclerosis		HP:0004747	HP:0000096	Glomerulosclerosis, Focal Segmental
HP:0000098	Tall stature	Accelerated linear growth|Increased body height|Increased linear growth		HP:0001527|HP:0003515|HP:0003516	HP:0000002	
HP:0000099	Glomerulonephritis	Glomrulonephritis			HP:0000095|HP:0000123	Glomerulonephritis
HP:0000100	Nephrotic syndrome	Nephrosis		HP:0000801|HP:0004718|HP:0008638|HP:0008727	HP:0012211	Nephrotic Syndrome
HP:0000103	Polyuria	Increased urine output		HP:0200060	HP:0012590	Polyuria
HP:0000104	Renal agenesis	Absent kidney|Renal aplasia		HP:0000785|HP:0004745|HP:0008680	HP:0008678	
HP:0000105	Enlarged kidneys	Large kidneys|Nephromegaly|Renal enlargement	Large kidney		HP:0012210	
HP:0000107	Renal cyst		CYSTIC KIDNEYS|Cystic kidney disease|RENAL CYSTS	HP:0000088|HP:0000109	HP:0012210	
HP:0000108	Renal corticomedullary cysts	Corticomedullary renal cysts|Renal corticomedullary cystic disease			HP:0000107|HP:0011035|HP:0100957	
HP:0000110	Renal dysplasia	Dysplastic kidneys|Renal adysplasia		HP:0000116|HP:0004721	HP:0012210	
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia				HP:0000095	
HP:0000112	Nephropathy				HP:0012211	
HP:0000113	Polycystic kidney dysplasia	Enlarged polycystic kidneys|Polycystic kidney disease|Polycystic kidneys		HP:0004716|HP:0004739|HP:0004740|HP:0008645|HP:0008673|HP:0008699	HP:0000107	Polycystic kidney diseases
HP:0000114	Proximal tubulopathy	Proximal renal tubule defect|Proximal renal tubulopathy|Proximal tubular defect|Proximal tubule dysfunction|Selective proximal tubular damage		HP:0000806	HP:0000091	
HP:0000117	Renal phosphate wasting	Decreased renal tubular phosphate reabsorption|Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate|Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate (TMP/GFR)|Tubular phosphate reabsorption low			HP:0012599	
HP:0000118	Phenotypic abnormality	Organ abnormality			HP:0000001	
HP:0000119	Abnormality of the genitourinary system	Genitourinary abnormality|Genitourinary tract anomalies|Genitourinary tract malformation|Urogenital abnormalities|Urogenital anomalies	Genitourinary disease|Genitourinary dysplasia	HP:0008658|HP:0008688|HP:0008704|HP:0008713	HP:0000118	Urogenital Abnormalities
HP:0000121	Nephrocalcinosis				HP:0012210	Nephrocalcinosis
HP:0000122	Unilateral renal agenesis	Unilateral kidney agenesis			HP:0000104	
HP:0000123	Nephritis			HP:0008634	HP:0012211	Nephritis
HP:0000124	Renal tubular dysfunction	Renal tubular defect|Renal tubular disease			HP:0012211	
HP:0000125	Pelvic kidney				HP:0000086	
HP:0000126	Hydronephrosis				HP:0010946	Hydronephrosis
HP:0000127	Renal salt wasting	Renal salt-wasting|Salt wasting|Salt-wasting			HP:0012591	
HP:0000128	Renal potassium wasting				HP:0012598	
HP:0000130	Abnormality of the uterus	Uterine abnormalities|Uterine malformations		HP:0008630|HP:0008692	HP:0000008	
HP:0000131	Uterine leiomyoma	Benign uterine leiomyomas|Uterine fibroid		HP:0008642	HP:0010784	
HP:0000132	Menorrhagia	hypermenorrhea		HP:0100609	HP:0000140|HP:0001892	
